channel_name,channel_type,country,country_rank,daily_subs_average,daily_views_average,estimated_monthly_income,people_rank,social_blade_rank,subscriber_rank,subscribers,subscribers_last_30_days,uploads,video_view_rank,views,views_last_30_days,yearly_income,channel_age
Answered That For You,entertainment,US,729.0,0.14007347378811658,0.6228457043971191,0.6152915291495048,750.0,3.0,966.0,-0.0403052760147317,250000.0,-0.12553651685860687,2547.0,0.08625877640011813,0.6228340430463355,0.6176195408715359,-1.1925077698814666
NickandCarrie,people,AU,23.0,0.24454536248246295,1.386585298531077,1.3390003510410027,229.0,214.0,547.0,0.2644811746164429,300000.0,-0.13509414137793457,850.0,0.47983381178305734,1.3865625128453505,1.3819858230378228,
4 Non Blondes,,US,960.0,-0.36014043160110104,-0.411948883561348,-0.42046529164853064,,7.0,1201.0,-0.21183967938928164,10000.0,-0.1714472489246631,6619.0,-0.10208208095971004,-0.4119458652700094,-0.420350921939832,
Jasmin and James,entertainment,AU,133.0,2.1212858779497625,1.652794661223796,1.6795246246569153,,352.0,1155.0,-0.1544161452123937,1200000.0,-0.08379017833311486,15960.0,-0.18020659398990904,1.6527692646027394,1.643687107338339,-0.9140658373774895
MaviGadget,entertainment,US,66.0,3.785329134997435,8.26379965209109,8.24043666273521,75.0,8.0,177.0,1.7758980421183785,2000000.0,-0.006100344740294057,103.0,2.0877875127770813,8.265030366473594,8.267436854806576,-0.10431716936488036
Jiemba Sands,people,AU,13.0,0.3884288020016226,0.5813900605135655,0.5738222773864223,137.0,1067.0,365.0,0.39920562018529543,370000.0,-0.15199065615317459,1562.0,0.23780670061398562,0.5813780835435229,0.5700530764043628,1.081531561967297
DepecheModeVEVO,music,US,1685.0,,7.583142292692443,7.550726130800912,1527.0,9.0,1951.0,-0.30982778706804814,,-0.16571267421306649,4406.0,-0.039064872654757485,7.583092592837661,7.581599006294878,
Diary of 4,people,CA,23.0,1.6583565508011622,6.637258578424121,6.628874408840377,154.0,17.0,398.0,0.39184362862415595,980000.0,-0.09286992162647616,296.0,1.1705139875044304,6.63758377785778,6.643084055699924,1.823849615845332
Secret Vlog,comedy,DE,8.0,0.657428275885269,1.9150953378050273,1.911557539874372,60.0,188.0,329.0,0.6053413838972009,500000.0,-0.08293681900103203,369.0,0.9747970314498982,1.915068471080521,1.9144125738561144,-0.5490104436144468
LE FOOT EN VIDÉO,sports,FR,172.0,0.6824514827581663,1.3058884141120197,1.3343445342634241,258.0,273.0,1149.0,-0.1713487258030145,510000.0,-0.16305019309696805,11289.0,-0.16250702621677082,1.3058679375208728,1.3007681830824902,-0.021191498492085573
