,matchId,playerId,interveningOpponents,interveningTeammates,minute,second,outcome,converted_seconds,distance,angle,angle_degrees,interferenceOnShooter_encoded,bodyPart_head,bodyPart_left foot,bodyPart_other,bodyPart_right foot,playType_free kick,playType_olimpico,playType_open play,playType_penalty
40,m_96,p_20,3,1,24.0,32,saved by keeper,1.0,19.226024029944416,0.9793315328108284,56.111563574138174,2.0,False,False,False,True,False,False,True,False
41,m_184,p_144,2,0,16.0,25,saved by keeper,1.0,16.535758222712378,0.5921958027215865,33.93032014130881,1.0,False,True,False,False,False,False,True,False
42,m_177,p_7,2,0,24.0,9,goal,1.0,5.886229693105766,-0.9361295107671006,-53.63627004460142,3.0,False,False,False,True,False,False,True,False
43,m_91,p_59,4,0,36.0,26,blocked shot,1.0,14.146070125656808,-0.8599464729922582,-49.27130350961723,3.0,False,True,False,False,False,False,True,False
44,m_154,p_90,1,0,91.0,2,missed chance,1.0,5.524499977373519,-0.3223229641795743,-18.46774548763602,1.0,False,True,False,False,False,False,True,False
45,m_88,p_45,1,0,69.0,39,missed chance,1.0,7.9956488167002435,0.0625748405766852,3.585274268748033,1.0,True,False,False,False,False,False,True,False
46,m_143,p_91,3,1,64.0,31,saved by keeper,1.0,20.267831655112985,-0.6015504265926037,-34.46630060805044,3.0,False,True,False,False,False,False,True,False
47,m_148,p_112,3,0,69.0,44,blocked shot,1.0,13.831156856893786,-0.12686597483131917,-7.268884921647515,2.0,False,True,False,False,False,False,True,False
48,m_196,p_154,1,0,90.0,20,goal,1.0,12.426817774474687,-0.6713477165890046,-38.46539074629489,2.0,False,False,False,True,False,False,True,False
49,m_51,p_1,2,0,73.0,41,saved by keeper,1.0,15.31034290928848,-0.11455218128114229,-6.563356521426965,3.0,True,False,False,False,False,False,True,False
50,m_62,p_78,1,0,45.0,39,saved by keeper,1.0,13.61224816112313,0.720419493790956,41.276996473173,3.0,False,True,False,False,False,False,True,False
51,m_202,p_129,3,0,41.0,12,saved by keeper,1.0,11.660437384592399,-0.846076923704567,-48.476636871683844,2.0,True,False,False,False,False,False,True,False
52,m_216,p_134,6,0,86.0,9,blocked shot,1.0,16.7981903787283,0.3172325128495446,18.176084110608564,2.0,False,False,False,True,False,False,True,False
53,m_187,p_153,1,0,61.0,44,missed chance,1.0,14.293138213842335,0.8220154521792404,47.09801610440842,1.0,False,True,False,False,False,False,True,False
54,m_235,p_49,2,0,17.0,14,blocked shot,1.0,14.41436089460785,0.6505774441242528,37.27534179472782,3.0,True,False,False,False,False,False,True,False
55,m_240,p_100,3,1,24.0,13,missed chance,1.0,23.22571204505903,-0.2608520034572667,-14.945718875633341,2.0,False,False,False,True,False,False,True,False
56,m_10,p_61,3,0,68.0,45,missed chance,1.0,19.636700333813724,-0.8661470553523111,-49.62657070937153,2.0,False,True,False,False,False,False,True,False
57,m_33,p_99,2,0,73.0,11,blocked shot,1.0,30.558890686672513,-0.456476650403721,-26.15418551440196,2.0,False,False,False,True,False,False,True,False
58,m_86,p_40,3,0,60.0,45,saved by keeper,1.0,23.526652970620365,0.5586443705361429,32.00796468046351,1.0,False,False,False,True,False,False,True,False
59,m_26,p_10,2,0,65.0,6,blocked shot,1.0,12.698759781962961,1.2303679944873047,70.4948933320979,2.0,False,True,False,False,False,False,True,False
60,m_93,p_141,3,1,57.0,48,saved by keeper,1.0,26.38965138079698,0.12308595969500578,7.052306007841189,2.0,False,False,False,True,False,False,True,False
61,m_149,p_136,3,0,52.0,49,goal,1.0,28.52538693865519,-0.5418022926315805,-31.042984698301545,1.0,False,False,False,True,False,False,True,False
62,m_99,p_73,1,0,22.0,54,missed chance,1.0,7.9898498108537686,0.6745454770188489,38.64860892281891,1.0,False,True,False,False,False,False,True,False
63,m_131,p_131,1,0,79.0,5,saved by keeper,1.0,21.16914027541034,0.6009735741735002,34.43324939903389,1.0,False,False,False,True,False,False,True,False
64,m_139,p_31,1,0,28.0,6,saved by keeper,1.0,37.83488998266019,-0.5789126112675156,-33.16924933252631,1.0,False,True,False,False,False,False,True,False
65,m_209,p_135,4,0,64.0,49,missed chance,1.0,27.212778248462616,0.24043323988580492,13.77580990011311,3.0,False,True,False,False,False,False,True,False
66,m_65,p_17,1,0,17.0,42,missed chance,1.0,9.87754017961962,0.8211994785394958,47.051264258657135,1.0,True,False,False,False,False,False,True,False
67,m_25,p_144,5,1,42.0,11,blocked shot,1.0,27.970250267024785,0.053654147508356516,3.07415620560119,2.0,False,False,False,True,False,False,True,False
68,m_167,p_66,3,1,78.0,1,saved by keeper,1.0,21.04524886999439,-1.0224721749318417,-58.58334029315654,1.0,False,False,False,True,False,False,True,False
69,m_224,p_61,1,0,67.0,59,missed chance,1.0,8.70979333853565,0.4122789578035227,23.621844264194007,1.0,False,False,False,True,False,False,True,False
70,m_226,p_96,2,0,14.0,33,missed chance,1.0,15.010029979983386,-0.37444434571591223,-21.454080672059277,1.0,False,False,False,True,False,False,True,False
71,m_59,p_129,5,2,92.0,2,missed chance,1.0,10.039945218974056,0.4636476090008061,26.56505117707799,1.0,True,False,False,False,False,False,True,False
72,m_238,p_21,2,0,34.0,57,saved by keeper,1.0,13.955142421344183,-1.1468968544180969,-65.71234929498695,1.0,False,False,False,True,False,False,True,False
73,m_179,p_88,3,0,59.0,2,goal,1.0,10.934943987053614,-0.47387220156037796,-27.15087717798232,2.0,False,False,False,True,False,False,True,False
74,m_217,p_72,2,0,42.0,45,saved by keeper,1.0,25.645490831723226,-0.1266765225873926,-7.258030107651239,1.0,False,False,False,True,False,False,True,False
75,m_86,p_9,2,0,50.0,43,missed chance,1.0,10.808931492057853,0.3287720890903543,18.8372531265764,2.0,False,False,False,True,False,False,True,False
76,m_56,p_65,1,0,28.0,10,hit the post,1.0,15.39971752987697,-0.43431262155910205,-24.884280204599076,1.0,False,False,False,True,False,False,True,False
77,m_121,p_78,2,0,81.0,3,blocked shot,1.0,12.491136857788407,0.4550549096376719,26.072725768945652,2.0,False,True,False,False,False,False,True,False
78,m_191,p_151,1,0,72.0,25,missed chance,1.0,12.822082514162823,-0.6470886772420369,-37.075450176671836,3.0,False,False,False,True,False,False,True,False
79,m_29,p_72,2,0,28.0,59,goal,1.0,8.47113923861484,0.7853981633974483,45.0,2.0,True,False,False,False,False,False,True,False
80,m_198,p_128,6,2,90.0,45,hit the post,1.0,22.601170323680144,1.1861818469198544,67.96321356354075,1.0,False,False,False,True,True,False,False,False
81,m_107,p_103,3,0,61.0,13,saved by keeper,1.0,15.785239941160224,1.0223370171397042,58.575596322098754,2.0,False,False,False,True,False,False,True,False
82,m_155,p_131,2,0,35.0,23,saved by keeper,1.0,15.340928915812107,-0.1307423591682447,-7.490985383923966,1.0,False,False,False,True,False,False,True,False
83,m_91,p_4,1,0,55.0,31,goal,1.0,10.97,0.0,0.0,1.0,False,False,False,True,False,False,False,True
84,m_173,p_119,4,1,19.0,32,blocked shot,1.0,15.425751197267509,0.6825366737353796,39.106470767934916,2.0,False,True,False,False,False,False,True,False
85,m_224,p_35,1,0,49.0,42,goal,1.0,8.598139333600033,-0.5156839238100223,-29.54651239706018,1.0,False,True,False,False,False,False,True,False
86,m_74,p_125,4,0,46.0,59,missed chance,1.0,8.685217326008601,0.8865250131700396,50.79414168742299,3.0,True,False,False,False,False,False,True,False
87,m_226,p_5,1,0,15.0,28,goal,1.0,10.102004751533233,-0.5745492691822996,-32.919248246471625,1.0,False,False,False,True,False,False,True,False
88,m_198,p_64,2,0,75.0,56,missed chance,1.0,21.5404363929796,0.3546411566869408,20.31944151979944,3.0,False,False,False,True,False,False,True,False
89,m_208,p_55,4,1,17.0,39,blocked shot,1.0,22.85483975003982,0.12017614119892583,6.885585688866703,2.0,False,False,False,True,False,False,True,False
90,m_62,p_122,2,0,18.0,40,saved by keeper,1.0,15.692966577419327,0.3068383184687709,17.580540641151632,2.0,False,False,False,True,False,False,True,False
91,m_208,p_156,2,0,64.0,17,saved by keeper,1.0,13.092784272262337,-0.3096738468615496,-17.743004450747364,1.0,False,True,False,False,False,False,True,False
92,m_143,p_94,2,0,54.0,36,goal,1.0,21.57220665578744,-0.18603137956722401,-10.658812906198195,3.0,False,True,False,False,False,False,True,False
