channel_id,channel_link,channel_name,channel_type,country,country_rank,created_date,daily_subs_average,daily_views_average,estimated_monthly_income,people_rank,social_blade_rank,socialblade_url,subscriber_rank,subscribers,subscribers_last_30_days,uploads,video_view_rank,views,views_last_30_days,yearly_income
@treshfilms,https://youtube.com/@treshfilms,TreshFilms,film,RU,331st,"Dec 31st, 2014",+6K,"+7,912,432",€54K - €864K,499th,868th,https://socialblade.com/youtube/channel/UC5_5Rq-kbDGq_RcDTUDeS5g,"1,139th",2.32M,180K,914,"6,203rd",2128651281,237.373M,€648K - €10.4M
@nevotv,https://youtube.com/@nevotv,NevoMusic,music,RU,35th,"Feb 13th, 2017",+7.66K,"+8,236,559",€56.2K - €899.4K,241st,812th,https://socialblade.com/youtube/channel/UCkaUg9b9LplVoJdx1JwwyOg,520th,8.44M,230K,6913,"1,094th",7042844666,247.097M,€674.6K - €10.8M
,,Tik tok 2021,education,RU,580th,"Feb 19th, 2021",+23.3K,"+8,635,171",€58.9K - €943K,771st,786th,https://socialblade.com/youtube/channel/UC9XA4L0zDfxZdHnDN0wiHEg,"1,426th",860K,700K,608,"15,646th",999094210,259.055M,€707.2K - €11.3M
@mashabearrussian,https://youtube.com/@mashabearrussian,Маша и Медведь,education,RU,2nd,"May 31st, 2011",+13.3K,"+8,666,462",€59.1K - €946.4K,6th,708th,https://socialblade.com/youtube/channel/UCRv76wLBC73jiP7LX4C3l8Q,58th,48.2M,400K,1746,29th,40220108422,259.994M,€709.8K - €11.4M
@pavlovfamily,https://youtube.com/@pavlovfamily,Pavlov_family_,,RU,120th,"May 6th, 2022",+9.33K,"+9,992,136",€68.2K - €1.1M,--,605th,https://socialblade.com/youtube/channel/UCIMfBGGWOrLllmotaEt8l7g,849th,5.18M,280K,688,"2,171st",4519656302,299.764M,€818.4K - €13.1M
@ilyaborzov,https://youtube.com/@ilyaborzov,ILYA BORZOV,people,RU,5th,"Apr 1st, 2021",+20K,"+13,236,079",€90.3K - €1.4M,38th,371st,https://socialblade.com/youtube/channel/UCkwZ4L2z5M_nLHoPtshyJbw,239th,21.8M,600K,2561,350th,13836068026,397.082M,€1.1M - €17.3M
@edisonpts,https://youtube.com/@edisonpts,EdisonPts,games,RU,11th,"Jun 24th, 2013",+3.33K,"+10,789,608",€73.6K - €1.2M,50th,286th,https://socialblade.com/youtube/channel/UCrpt82vHWIWZSHtNQxncPrg,295th,16.1M,100K,3929,968th,7525275729,323.688M,€883.7K - €14.1M
@tuzelityofficial,https://youtube.com/@tuzelityofficial,tuzelity SHUFFLE,people,RU,3rd,"Oct 26th, 2015",+40K,"+16,617,988",€113.4K - €1.8M,10th,204th,https://socialblade.com/youtube/channel/UCVRqK0tS3B8pVog1HwCR4pg,136th,33.4M,1.2M,1049,372nd,13519971046,498.54M,€1.4M - €21.8M
@chapitosiki,https://youtube.com/@chapitosiki,Chapitosiki,entertainment,RU,4th,"Jan 24th, 2020",+26.6K,"+28,771,275",€196.4K - €3.1M,101st,51st,https://socialblade.com/youtube/channel/UCXmseTCR4w5q36pupOJKegw,219th,23.9M,800K,3745,140th,22358807239,863.138M,€2.4M - €37.7M
@faruk_yt_______9t9,https://youtube.com/@faruk_yt_______9t9,Faruk_YT_______9T9,,IN,965th,"Mar 27th, 2023",+37K,"+14,396,962",€98.3K - €1.6M,--,372nd,https://socialblade.com/youtube/channel/UCCi7oxol1-VM6mVnGmhXkXg,"1,274th",1.17M,1.11M,107,"44,895th",441548851,431.909M,€1.2M - €18.9M
@abpmajhatv,https://youtube.com/@abpmajhatv,ABP MAJHA,news,IN,155th,"Jul 30th, 2014",+10K,"+13,091,206",€89.3K - €1.4M,32nd,370th,https://socialblade.com/youtube/channel/UCH7nv1A9xIrAifZJNvt7cgA,326th,13.1M,300K,391299,438th,12121260849,392.736M,€1.1M - €17.2M
@krishnaavyu,https://youtube.com/@krishnaavyu,Krishna Avyu,people,IN,684th,"Sep 5th, 2019",+11.3K,"+12,590,686",€85.9K - €1.4M,566th,369th,https://socialblade.com/youtube/channel/UCCczaXpIkXAn1Tl-HODH-PA,981st,3.93M,340K,1215,"3,012th",3646912471,377.721M,€1M - €16.5M
@starbharat,https://youtube.com/@starbharat,STAR भारत,entertainment,IN,134th,"Apr 5th, 2007",+16.6K,"+14,274,405",€97.4K - €1.6M,172nd,364th,https://socialblade.com/youtube/channel/UCCy2rLnGdwoJcSAtixNdsPQ,305th,15.2M,500K,31035,494th,11419126343,428.232M,€1.2M - €18.7M
@gstnarayanshort,https://youtube.com/@gstnarayanshort,GST NARAYAN SHORT,games,IN,276th,"May 21st, 2021",+64.6K,"+15,467,184",€105.6K - €1.7M,143rd,363rd,https://socialblade.com/youtube/channel/UCcnkqc1Fu71DTpxhYyP_vUw,510th,8.86M,1.94M,515,"16,754th",1036513029,464.015M,€1.3M - €20.3M
@pintuindorishort,https://youtube.com/@pintuindorishort,PINTU INDORI SHORT,,IN,604th,"May 21st, 2018",+20.6K,"+10,681,889",€72.9K - €1.2M,--,361st,https://socialblade.com/youtube/channel/UCjoIzzyOwxKR8jdZGmSohzQ,898th,4.8M,620K,1026,"7,158th",1937676179,320.457M,€874.8K - €14M
@ravisagar88,https://youtube.com/@ravisagar88,Ravi sagar88,music,IN,90th,"Jun 17th, 2018",+20K,"+12,855,489",€87.7K - €1.4M,92nd,358th,https://socialblade.com/youtube/channel/UClJXZR68EbNb3Ny8U-hvskA,247th,21M,600K,1903,777th,8736066155,385.665M,€1.1M - €16.8M
@tappu_parmar_sevasi,https://youtube.com/@tappu_parmar_sevasi,Tappu Parmar Sevasi,people,IN,185th,"May 30th, 2021",+17.3K,"+9,732,943",€66.4K - €1.1M,133rd,354th,https://socialblade.com/youtube/channel/UC64tB97n5xZdqs4qAyTCnpw,357th,10.1M,520K,1206,"2,783rd",3796457549,291.988M,€797.1K - €12.8M
@adityamusic,https://youtube.com/@adityamusic,Aditya Music,music,IN,48th,"May 1st, 2008",+13.3K,"+12,990,260",€88.7K - €1.4M,50th,353rd,https://socialblade.com/youtube/channel/UCNApqoVYJbYSrni4YsbXzyQ,145th,32M,400K,23524,61st,29607451991,389.708M,€1.1M - €17M
@ismail_ke_vlogs,https://youtube.com/@ismail_ke_vlogs,Ismail Ke Vlogs,,IN,585th,"Jun 6th, 2022",+17.3K,"+13,398,315",€91.4K - €1.5M,--,351st,https://socialblade.com/youtube/channel/UC4YNMrteXW51zsi_ryDMo5w,877th,4.95M,520K,1256,"2,775th",3846272782,401.949M,€1.1M - €17.6M
@dishitanaveen,https://youtube.com/@dishitanaveen,Dishita and Naveen Joshi,entertainment,IN,607th,"Jul 11th, 2020",+11.6K,"+13,750,841",€93.8K - €1.5M,686th,349th,https://socialblade.com/youtube/channel/UCbVSVO5TZXv0nzzB8G2vCVQ,901st,4.71M,350K,813,"2,114th",4622453007,412.525M,€1.1M - €18M
@cutekrashivfamily,https://youtube.com/@cutekrashivfamily,Cute Krashiv and Family,,IN,868th,"Apr 12th, 2022",+11.6K,"+16,428,721",€112.1K - €1.8M,--,346th,https://socialblade.com/youtube/channel/UCmmj7ddWtuULgcZqBHrroOQ,"1,168th",2.12M,350K,789,"5,456th",2455300186,492.862M,€1.3M - €21.5M
@arhaan_ki_masti,https://youtube.com/@arhaan_ki_masti,Arhaan Ki Masti,,IN,515th,"Aug 9th, 2022",+16.3K,"+14,272,050",€97.4K - €1.6M,--,335th,https://socialblade.com/youtube/channel/UCn4XDVOXXgdmqPzZuDil8zg,805th,5.73M,490K,1016,"2,249th",4466107771,428.161M,€1.2M - €18.7M
@zeenews,https://youtube.com/@zeenews,Zee News,news,IN,38th,"Jun 19th, 2007",+10K,"+13,031,284",€88.9K - €1.4M,4th,342nd,https://socialblade.com/youtube/channel/UCIvaYmXn910QMdemBG3v1pQ,122nd,35.2M,300K,171456,156th,20738314234,390.939M,€1.1M - €17.1M
@surjeetswag,https://youtube.com/@surjeetswag,Surjeet Swag,,IN,485th,"Jun 18th, 2022",+13.3K,"+14,262,240",€97.3K - €1.6M,--,334th,https://socialblade.com/youtube/channel/UCHQKOUIQLAT9-aCMND2BZeA,772nd,5.98M,400K,924,"3,311th",3414112656,427.867M,€1.2M - €18.7M
