Txn_Hash,Method,Block,Age,From,To,Value,Txn_Fee
0x60acd980b73166a56fc1472111144a84f6e659981a931fd7d632d05000ca21c1,Transfer,19660907,15 secs ago,beaverbuild,,0.021823482 ETH,0.00039025
0x7c8c89a32896185c073adb6613ffb030f419e28c33d6dd51a1064ca72440435f,Transfer,19660907,15 secs ago,0x77300C71...07dEB77C7,,0 ETH,0.00081426
0xf434e9ddbf70e01c0c19a534bbe2f9caf587f38b5e1b8ae7044408d61d2f266a,Transfer,19660907,15 secs ago,0x3c6390ec...036ed3D1C,0x00c09E7E...58c6A96e2,0.001061275 ETH,0.00037085
0x05e45fed5ce392ce870f05321f4bcf73cea16987eef63a6f465767090628b308,Transfer,19660907,15 secs ago,mercuryo,,0 ETH,0.00111624
0xa4f7e7121d3b769eb4e6e9c544ce04202906a23fa4af6dab62034e79086921ea,Commit Batch,19660907,15 secs ago,Scroll: Batch Committer,,0 ETH,0.02727048
0x06b9192d0372e5a946a9fee06ac41d93ce5ecfd275d83640fa2e1306a7df0f04,Transfer,19660907,15 secs ago,0x425F4737...BFeFfC421,0x6D3b9C32...d5e2be0f7,0.001109374 ETH,0.00037095
0xe4b8e7a7ae6273e483c172c69b3f23f5e4f1eead61c141a2e1795e87933cda38,Claim,19660907,15 secs ago,0xBF601230...a6b40FFd8,,0 ETH,0.00172715
0xf1d977f58b2b84ab9055441b10eb67ff8caa120031b742c676b5521e3f467811,Approve,19660907,15 secs ago,0xf1f3eCE6...84686e2A6,,0 ETH,0.00085781
0x7c66794d117292fe40516f1824509cfafe96d1af330f394539706b2db1628c0e,Approve,19660907,15 secs ago,0x1d3655fB...F600DBCB1,,0 ETH,0.00081801
0x35753c51dd3cf857b815242117024ecea23a11af9a5a362519f0e33298d6c137,Execute,19660907,15 secs ago,0xF17a7C42...cFbBA0628,,0 ETH,0.00305174
0x7dae2008755086e15d0f6afc7943c19328054c0923131d095bb52bf3b622bf47,Execute,19660907,15 secs ago,0xbA55BDbF...D2164662d,,1 ETH,0.0024894
0xf47c8d2597f39c283c1c8edbfc9bcc1d9251b9512ce70d2ece8c913a8917edba,Transfer,19660907,15 secs ago,0x8337CC54...d60Fdb473,,1.374 ETH,0.00046492
0xcd4b3a2482a23b09400f8b23d74bbac0ddf029393c542f4aeeb69ee87927f689,Execute,19660907,15 secs ago,0xE8797073...E165bF0C4,,0.1 ETH,0.00273154
0x69a62a94b114c6d8e9bb80602d9333ab802890a99a854063477bf6d6a0d3fa66,Mint Base,19660907,15 secs ago,0x949068b0...8Ee6eb1Bc,,0 ETH,0.00282485
0x278ba0af169f521789202e9456ef9238a5da92877c51b81b9ce3a255f22ebc8f,Transfer,19660907,15 secs ago,0x835F57B7...8D7c9ECE6,,0 ETH,0.00084355
0x5ab47899dcc5db191f79fe9047dd2fe5958e702ccb51b173489d68cd808a90d8,Harvest Rewards,19660907,15 secs ago,0x138B9E83...A1Fc006a2,,0 ETH,0.00208865
0x1c2115502c18d3b66a7dcf78601bb1980c942cfb8be7d303f97eee42b7c3028a,Deposit,19660907,15 secs ago,0x271A1A67...E6F54e229,,1.5 ETH,0.00079578
0x98ed0dcc091929a715c419906881ed941c1919915ecdfa61ae3f8cfc9063cf26,Claim Tokens,19660907,15 secs ago,0x1405d855...735BEE70e,,0 ETH,0.00140701
0xe39ae0a45c627f5357b16c5c98c63613898556a865fc088249d8c67662c8e4dd,Transfer,19660907,15 secs ago,0x0242a6C5...051f9bE0c,0x8a289cd1...6F9FC6C35,0.182 ETH,0.00037105
0x71840ad486de7e491a88acbc91d9e7e885d563f91c34d4c8383fc11cc3268a9e,Execute,19660907,15 secs ago,0x19764DC6...91710dDB4,,0.038847174 ETH,0.00331068
0x90161922f6eebf3ecd77d7942ba6cd007c4a6510c18350abfeb46133a3332ac8,Transfer,19660907,15 secs ago,0x10cE8e7A...4Bea72768,,0 ETH,0.00107216
