channel_id,channel_link,channel_name,channel_type,country,country_rank,created_date,daily_subs_average,daily_views_average,estimated_monthly_income,people_rank,social_blade_rank,socialblade_url,subscriber_rank,subscribers,subscribers_last_30_days,uploads,video_view_rank,views,views_last_30_days,yearly_income,
@germanspidey,https://youtube.com/@germanspidey,German Spidey,entertainment,DE,14th,"May 5th, 2021",+20K,"12,077,771",€82.4K - €1.3M,322nd,437th,https://socialblade.com/youtube/channel/UCZAoGCaaxobl_C6khvgQAtg,499th,8.62M,600K,1341,689th,9302477398,362.333M,€989.2K - €15.8M,
@theweeknd,https://youtube.com/@theweeknd,The Weeknd,music,CA,3rd,"Feb 25th, 2011",+6.66K,"9,322,672",€63.6K - €1M,42nd,185th,https://socialblade.com/youtube/channel/UC0WP5P-ufpRfjbNrmOWwLBQ,124th,35.1M,200K,172,84th,27153599873,279.68M,€763.5K - €12.2M,
@colgatecolombia,https://youtube.com/@colgatecolombia,Colgate - Colombia,people,AF,67th,"Jan 27th, 2010",27,"381,997",€2.6K - €41.7K,"1,942nd","45,114th",https://socialblade.com/youtube/channel/UCyx7fzjvySVkPb-21NL8xzg,"2,566th",86.2K,800,270,"34,912th",491501950,11.46M,€31.3K - €500.6K,
@celinedept,https://youtube.com/@celinedept,Celine Dept,sports,BE,1st,"May 3rd, 2023",+100K,"40,158,107",€274.1K - €4.4M,5th,24th,https://socialblade.com/youtube/channel/UC1a2ZCw7tugRZYRMnecNj3A,167th,30M,3M,734,248th,16638420524,1.205B,€3.3M - €52.6M,
@cemi,https://youtube.com/@cemi,Celine & Michiel,entertainment,BE,2nd,"Jun 30th, 2019",+31.6K,"8,839,667",€60.3K - €965.3K,215th,715th,https://socialblade.com/youtube/channel/UClk5AUhvoAzN41inRfdLPYw,348th,10.9M,950K,858,643rd,9695000263,265.19M,€724K - €11.6M,
@thewindowmaster,https://youtube.com/@thewindowmaster,Timothy Tancré,N/A,BE,13th,"Mar 20th, 2022",+3.66K,"2,301,998",€15.7K - €251.4K,--,"8,939th",https://socialblade.com/youtube/channel/UCZit6i1Efx743PTt_Te4lGA,"1,137th",2.34M,110K,965,"6,624th",2009588301,69.06M,€188.5K - €3M,
@joppicr,https://youtube.com/@joppicr,Joppi,N/A,FI,229th,"Nov 11th, 2022",234,"235,326",€1.6K - €25.7K,--,"2,947th",https://socialblade.com/youtube/channel/UCcKBlZbJw7tSKciRfkLgVyw,"2,243rd",136K,7K,1058,"136,316th",122536598,7.06M,€19.3K - €308.4K,
@anayakandhal,https://youtube.com/@anayakandhal,Anaya Kandhal,entertainment,IN,54th,"Sep 20th, 2016",+93.3K,"110,412,186",€753.6K - €12.1M,67th,1st,https://socialblade.com/youtube/channel/UC4wEPe5mrHGAUjjTfXH_C-Q,162nd,30.6M,2.8M,1302,115th,25093930467,3.312B,€9M - €144.7M,
@mayamystic,https://youtube.com/@mayamystic,Mayamystic,comedy,FR,11th,"Jan 7th, 2015",+16.3K,"5,342,574",€36.5K - €583.4K,92nd,"1,823rd",https://socialblade.com/youtube/channel/UCsbzkA9S4TPhkt2Kl2Rx3ig,402nd,9.66M,490K,877,"1,431st",5964206631,160.277M,€437.6K - €7M,
@nutshellanimations,https://youtube.com/@nutshellanimations,Nutshell Animations,film,CA,37th,"Jun 18th, 2018",+15.6K,"14,386,115",€98.2K - €1.6M,135th,331st,https://socialblade.com/youtube/channel/UChFs0d8syPIK6x8q4C6BrJw,602nd,7.68M,470K,1852,"1,747th",5286276090,431.583M,€1.2M - €18.9M,
@noelgoescrazy,https://youtube.com/@noelgoescrazy,Noel Robinson,entertainment,DE,6th,"Jan 11th, 2015",+20K,"8,514,457",€58.1K - €929.8K,167th,606th,https://socialblade.com/youtube/channel/UCQB0skuuxIbGjtsC0bCkCPg,300th,15.7M,600K,1575,748th,8900810509,255.434M,€697.3K - €11.2M,
@chapitosiki,https://youtube.com/@chapitosiki,Chapitosiki,entertainment,RU,4th,"Jan 24th, 2020",+26.6K,"28,771,275",€196.4K - €3.1M,101st,51st,https://socialblade.com/youtube/channel/UCXmseTCR4w5q36pupOJKegw,219th,23.9M,800K,3745,140th,22358807239,863.138M,€2.4M - €37.7M,
@tseries,https://youtube.com/@tseries,T-Series,music,IN,1st,"Mar 13th, 2006",+66.6K,"89,921,169",€613.7K - €9.8M,1st,2nd,https://socialblade.com/youtube/channel/UCq-Fj5jknLsUf-MWSy4_brA,1st,265M,2M,20974,1st,2.55368E+11,2.698B,€7.4M - €117.8M,
N/A,,Dusty Student,people,FR,524th,"Jun 1st, 2018",--,"4,969,729",€33.9K - €542.7K,"1,204th","2,079th",https://socialblade.com/youtube/channel/UCgc2kzODqeBpl-vjBrUdVkw,"1,637th",658K,--,10,"44,116th",391291087,149.092M,€407K - €6.5M,
