channel_id,channel_link,channel_name,channel_type,country,country_rank,created_date,daily_subs_average,daily_views_average,estimated_monthly_income,people_rank,social_blade_rank,socialblade_url,subscriber_rank,subscribers,subscribers_last_30_days,uploads,video_view_rank,views,views_last_30_days,yearly_income
@theteskeybrothersvevo9369,https://youtube.com/@theteskeybrothersvevo9369,TheTeskeyBrothersVEVO,N/A,AF,"1,140th","Oct 4th, 2018",1.0,7131.0,414.0,--,"662,068th",https://socialblade.com/youtube/channel/UCfUgd7rnaSpGC6WuHay9MGQ,"18,112th",614.0,3,7.0,"487,288th",26127289.0,213916.0,4942.0
@gabinouvilla,https://youtube.com/@gabinouvilla,Gabinouvilla,entertainment,FR,260th,"Aug 8th, 2020",1660.0,1057208.0,61300.0,"1,028th","15,843rd",https://socialblade.com/youtube/channel/UC9BqltoWZk5k7rcWsDcCocw,"1,255th",1210000.0,50K,111.0,"46,657th",374125533.0,31716000.0,743300.0
@negroparis,https://youtube.com/@negroparis,Negro Paris,music,AF,108th,"Jan 2nd, 2007",10.0,7839.0,455.0,"2,344th","664,639th",https://socialblade.com/youtube/channel/UCSS6HVQQ32HeZb6rPFu6Dyw,"3,258th",48900.0,300,121.0,"292,604th",49555249.0,235167.0,5471.0
@inspirhistoires,https://youtube.com/@inspirhistoires,InspirHistoires,entertainment,FR,292nd,"Jul 10th, 2023",3000.0,1016328.0,58950.0,"1,065th","15,997th",https://socialblade.com/youtube/channel/UCZA9hI7Hjc3zKuC7c0JXchg,"1,294th",996000.0,90K,305.0,"91,345th",190777847.0,30490000.0,691600.0
@codtupakkalakko,https://youtube.com/@codtupakkalakko,Lakko,games,FI,43rd,"Mar 5th, 2011",67.0,85183.0,4940.5,870th,"165,078th",https://socialblade.com/youtube/channel/UC1BIOZPjE3lYa2s3ZT1kYaA,"1,396th",890000.0,2K,1188.0,"33,344th",510066701.0,2555000.0,59300.0
@tamerhilles20,https://youtube.com/@tamerhilles20,Tamer hilles تامر حلس,N/A,BE,345th,"Jul 24th, 2020",710.0,134827.0,7810.0,--,"114,972nd",https://socialblade.com/youtube/channel/UCJjrNNvFIrcGw1J-PFs3Q8w,"2,343rd",108000.0,21.3K,98.0,"506,777th",25496040.0,4045000.0,93850.0
@pintuindorishort,https://youtube.com/@pintuindorishort,PINTU INDORI SHORT,N/A,IN,604th,"May 21st, 2018",20600.0,10681889.0,636450.0,--,361st,https://socialblade.com/youtube/channel/UCjoIzzyOwxKR8jdZGmSohzQ,898th,4800000.0,620K,1026.0,"7,158th",1937676179.0,320457000.0,7437400.0
@philmondtv,https://youtube.com/@philmondtv,Philmond Tv,N/A,NG,129th,"Feb 27th, 2021",900.0,170046.0,9900.0,--,"90,195th",https://socialblade.com/youtube/channel/UCnpzoUZ8OoXu9YGHpdB_Vmg,"1,706th",601000.0,27K,3350.0,"130,920th",127696653.0,5101000.0,118350.0
@cocomelonrussian,https://youtube.com/@cocomelonrussian,CoComelon на русском — Детс�…,N/A,RU,450th,"Nov 23rd, 2021",2660.0,2764335.0,160400.0,--,"4,663rd",https://socialblade.com/youtube/channel/UCzIPnUHNXd8ZyHz2PRLIK1A,"1,268th",1100000.0,80K,391.0,"23,050th",728142833.0,82930000.0,1913200.0
@watchmojo,https://youtube.com/@watchmojo,WatchMojo.com,entertainment,CA,5th,"Jan 25th, 2007",,1547791.0,89800.0,90th,"10,970th",https://socialblade.com/youtube/channel/UCaWd5_7JhbQBe4dknZhsHJg,203rd,25300000.0,--,26973.0,236th,16821944087.0,46434000.0,1063400.0
@tedundpet,https://youtube.com/@tedundpet,Ted und Pet,N/A,DE,920th,"Sep 22nd, 2023",7700.0,1536918.0,89150.0,--,"12,034th",https://socialblade.com/youtube/channel/UCpiHG9KcYjLvifHxVDrvxzQ,"2,140th",232000.0,231K,247.0,"323,585th",46107514.0,46108000.0,1062950.0
